"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"January"	"1"	163
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"February"	"2"	136
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"March"	"3"	139
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"April"	"4"	158
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"May"	"5"	127
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"June"	"6"	163
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"July"	"7"	162
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"August"	"8"	176
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"September"	"9"	187
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"October"	"10"	151
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"November"	"11"	151
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"December"	"12"	152
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"January"	"1"	168
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"February"	"2"	134
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"March"	"3"	169
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"April"	"4"	144
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"May"	"5"	137
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"June"	"6"	138
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"July"	"7"	171
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"August"	"8"	161
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"September"	"9"	146
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"October"	"10"	140
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"November"	"11"	134
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"December"	"12"	142
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"January"	"1"	137
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"February"	"2"	121
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"March"	"3"	139
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"April"	"4"	177
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"May"	"5"	162
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"June"	"6"	151
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"July"	"7"	156
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"August"	"8"	147
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"September"	"9"	152
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"October"	"10"	152
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"November"	"11"	184
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"December"	"12"	170
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"January"	"1"	149
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"February"	"2"	145
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"March"	"3"	147
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"April"	"4"	127
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"May"	"5"	136
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"June"	"6"	131
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"July"	"7"	150
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"August"	"8"	163
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"September"	"9"	172
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"October"	"10"	152
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"November"	"11"	155
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"December"	"12"	156
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"January"	"1"	141
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"February"	"2"	119
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"March"	"3"	129
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"April"	"4"	148
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"May"	"5"	152
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"June"	"6"	128
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"July"	"7"	138
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"August"	"8"	154
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"September"	"9"	141
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"October"	"10"	149
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"November"	"11"	145
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"December"	"12"	124
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"January"	"1"	139
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"February"	"2"	136
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"March"	"3"	161
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"April"	"4"	137
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"May"	"5"	143
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"June"	"6"	114
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"July"	"7"	153
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"August"	"8"	154
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"September"	"9"	157
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"October"	"10"	149
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"November"	"11"	123
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"December"	"12"	144
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"January"	"1"	132
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"February"	"2"	125
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"March"	"3"	147
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"April"	"4"	126
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"May"	"5"	98
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"June"	"6"	116
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"July"	"7"	158
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"August"	"8"	153
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"September"	"9"	148
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"October"	"10"	138
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"November"	"11"	126
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"December"	"12"	151
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"January"	"1"	152
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"February"	"2"	118
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"March"	"3"	139
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"April"	"4"	131
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"May"	"5"	128
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"June"	"6"	139
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"July"	"7"	155
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"August"	"8"	136
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"September"	"9"	143
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"October"	"10"	152
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"November"	"11"	126
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"December"	"12"	129
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"January"	"1"	153
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"February"	"2"	127
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"March"	"3"	122
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"April"	"4"	126
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"May"	"5"	114
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"June"	"6"	122
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"July"	"7"	129
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"August"	"8"	141
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"September"	"9"	143
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"October"	"10"	121
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"November"	"11"	117
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"December"	"12"	155
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"January"	"1"	160
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"February"	"2"	170
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"March"	"3"	161
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"April"	"4"	189
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"May"	"5"	171
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"June"	"6"	205
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"July"	"7"	189
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"August"	"8"	197
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"September"	"9"	175
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"October"	"10"	168
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"November"	"11"	170
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"December"	"12"	182
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"January"	"1"	159
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"February"	"2"	170
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"March"	"3"	187
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"April"	"4"	153
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"May"	"5"	176
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"June"	"6"	179
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"July"	"7"	155
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"August"	"8"	189
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"September"	"9"	143
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"October"	"10"	142
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"November"	"11"	162
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"December"	"12"	170
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"January"	"1"	160
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"February"	"2"	154
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"March"	"3"	164
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"April"	"4"	164
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"May"	"5"	160
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"June"	"6"	160
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"July"	"7"	176
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"August"	"8"	186
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"September"	"9"	144
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"October"	"10"	157
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"November"	"11"	137
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"December"	"12"	130
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"January"	"1"	144
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"February"	"2"	134
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"March"	"3"	161
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"April"	"4"	148
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"May"	"5"	139
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"June"	"6"	142
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"July"	"7"	168
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"August"	"8"	145
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"September"	"9"	165
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"October"	"10"	148
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"November"	"11"	147
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"December"	"12"	143
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"January"	"1"	146
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"February"	"2"	131
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"March"	"3"	158
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"April"	"4"	142
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"May"	"5"	147
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"June"	"6"	158
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"July"	"7"	153
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"August"	"8"	163
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"September"	"9"	154
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"October"	"10"	144
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"November"	"11"	129
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"December"	"12"	152
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"January"	"1"	133
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"February"	"2"	125
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"March"	"3"	143
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"April"	"4"	131
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"May"	"5"	166
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"June"	"6"	138
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"July"	"7"	135
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"August"	"8"	159
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"September"	"9"	162
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"October"	"10"	154
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"November"	"11"	114
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"December"	"12"	157
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"January"	"1"	133
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"February"	"2"	134
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"March"	"3"	132
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"April"	"4"	149
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"May"	"5"	132
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"June"	"6"	130
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"July"	"7"	143
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"August"	"8"	122
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"September"	"9"	140
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"October"	"10"	153
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"November"	"11"	123
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"December"	"12"	156
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"January"	"1"	140
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"February"	"2"	108
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"March"	"3"	151
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"April"	"4"	120
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"May"	"5"	160
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"June"	"6"	154
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"July"	"7"	163
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"August"	"8"	134
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"September"	"9"	124
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"October"	"10"	154
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"November"	"11"	153
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"December"	"12"	144
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"January"	"1"	128
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"February"	"2"	134
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"March"	"3"	134
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"April"	"4"	132
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"May"	"5"	138
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"June"	"6"	134
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"July"	"7"	129
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"August"	"8"	138
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"September"	"9"	143
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"October"	"10"	135
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"November"	"11"	117
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"December"	"12"	113
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"January"	"1"	5618
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"February"	"2"	4889
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"March"	"3"	5409
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"April"	"4"	5028
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"May"	"5"	5310
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"June"	"6"	5298
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"July"	"7"	5836
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"August"	"8"	6003
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"September"	"9"	5847
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"October"	"10"	5852
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"November"	"11"	5396
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	"December"	"12"	5515
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"January"	"1"	5507
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"February"	"2"	5139
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"March"	"3"	5073
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"April"	"4"	4882
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"May"	"5"	5052
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"June"	"6"	4857
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"July"	"7"	5530
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"August"	"8"	5526
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"September"	"9"	5537
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"October"	"10"	5379
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"November"	"11"	4908
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	"December"	"12"	5290
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"January"	"1"	4838
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"February"	"2"	4586
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"March"	"3"	5067
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"April"	"4"	4483
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"May"	"5"	4624
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"June"	"6"	4562
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"July"	"7"	4950
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"August"	"8"	5120
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"September"	"9"	5092
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"October"	"10"	4924
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"November"	"11"	4544
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"December"	"12"	4928
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"January"	"1"	4607
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"February"	"2"	4223
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"March"	"3"	4736
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"April"	"4"	4325
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"May"	"5"	4388
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"June"	"6"	4370
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"July"	"7"	4470
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"August"	"8"	4744
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"September"	"9"	4941
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"October"	"10"	4521
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"November"	"11"	4368
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"December"	"12"	4655
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"January"	"1"	4447
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"February"	"2"	4039
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"March"	"3"	4534
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"April"	"4"	3930
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"May"	"5"	4205
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"June"	"6"	4390
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"July"	"7"	4544
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"August"	"8"	4808
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"September"	"9"	4906
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"October"	"10"	4674
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"November"	"11"	4442
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"December"	"12"	4548
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"January"	"1"	4513
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"February"	"2"	4306
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"March"	"3"	4584
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"April"	"4"	4222
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"May"	"5"	4291
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"June"	"6"	4254
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"July"	"7"	4672
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"August"	"8"	4939
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"September"	"9"	4839
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"October"	"10"	4841
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"November"	"11"	4581
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"December"	"12"	4602
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"January"	"1"	4520
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"February"	"2"	4061
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"March"	"3"	4522
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"April"	"4"	4272
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"May"	"5"	4240
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"June"	"6"	4271
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"July"	"7"	4651
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"August"	"8"	4728
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"September"	"9"	4789
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"October"	"10"	4810
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"November"	"11"	4497
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"December"	"12"	4654
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"January"	"1"	4618
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"February"	"2"	4278
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"March"	"3"	4542
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"April"	"4"	4214
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"May"	"5"	4367
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"June"	"6"	4327
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"July"	"7"	4879
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"August"	"8"	4889
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"September"	"9"	5000
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"October"	"10"	4875
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"November"	"11"	4485
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"December"	"12"	4936
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"January"	"1"	4603
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"February"	"2"	4250
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"March"	"3"	4715
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"April"	"4"	4268
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"May"	"5"	4389
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"June"	"6"	4313
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"July"	"7"	4495
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"August"	"8"	4742
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"September"	"9"	4999
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"October"	"10"	4781
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"November"	"11"	4455
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"December"	"12"	4726
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"January"	"1"	216
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"February"	"2"	201
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"March"	"3"	191
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"April"	"4"	193
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"May"	"5"	216
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"June"	"6"	212
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"July"	"7"	207
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"August"	"8"	227
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"September"	"9"	219
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"October"	"10"	220
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"November"	"11"	203
	"Mohave County, AZ"	"04015"	"2007"	"2007"	"December"	"12"	193
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"January"	"1"	206
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"February"	"2"	187
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"March"	"3"	218
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"April"	"4"	199
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"May"	"5"	230
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"June"	"6"	181
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"July"	"7"	227
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"August"	"8"	223
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"September"	"9"	185
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"October"	"10"	195
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"November"	"11"	170
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"December"	"12"	170
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"January"	"1"	187
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"February"	"2"	188
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"March"	"3"	189
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"April"	"4"	182
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"May"	"5"	171
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"June"	"6"	196
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"July"	"7"	224
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"August"	"8"	195
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"September"	"9"	190
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"October"	"10"	173
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"November"	"11"	178
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"December"	"12"	207
	"Mohave County, AZ"	"04015"	"2010"	"2010"	"January"	"1"	184
